gid,strategy_name,method,family,tickers,status,reason,video_id,url
g011,Hyperliquid Liquidation Scalping with SMA/Standard Deviation,template,bollinger,,accepted,ok,RKku3SLPsQ4,https://www.youtube.com/watch?v=RKku3SLPsQ4
,AI-Generated Automated Strategy Search via Straten,failed,rsi_meanrev,,rejected,template invalid: trivial: position never changes,-JdXdm8ro0w,https://www.youtube.com/watch?v=-JdXdm8ro0w
g012,Moving Average Crossover,template,ma_crossover,,accepted,ok,b3VFMdjBfKA,https://www.youtube.com/watch?v=b3VFMdjBfKA
g013,Breakout Strategy,template,donchian_breakout,,accepted,ok,Z7MA_68HmF0,https://www.youtube.com/watch?v=Z7MA_68HmF0
g014,SMA Crossover,template,ma_crossover,,accepted,ok,-ZnO4ldUwAA,https://www.youtube.com/watch?v=-ZnO4ldUwAA
g015,MACD Crossover Strategy,template,macd,,accepted,ok,E3KP1WyLITY,https://www.youtube.com/watch?v=E3KP1WyLITY
g016,SMA Crossover Strategy,template,ma_crossover,,accepted,ok,pt4auu_ZPm4,https://www.youtube.com/watch?v=pt4auu_ZPm4
,Daily Range Breakout Strategy,failed,donchian_breakout,,rejected,template invalid: trivial: position never changes,C7G1xkSDlws,https://www.youtube.com/watch?v=C7G1xkSDlws
g017,RSI and MACD Buy/Sell Signal Strategy,template,rsi_meanrev,,accepted,ok,e-tEfBzLyg8,https://www.youtube.com/watch?v=e-tEfBzLyg8
g018,RSI-Based Mean Reversion Strategy with 200-Day MA Filter,template,rsi_meanrev,,accepted,ok,pB8eJwg7LJU,https://www.youtube.com/watch?v=pB8eJwg7LJU
g019,Least Squares Moving Average (LSMA) Trading Strategy,template,lsma_meanrev,,accepted,ok,sESQpRoo994,https://www.youtube.com/watch?v=sESQpRoo994
g020,SMA Bot for HIP-3 Stock Trading,template,ma_crossover,,accepted,ok,PdmdT0uMGj8,https://www.youtube.com/watch?v=PdmdT0uMGj8
g021,Bollinger Band Bounce Strategy,template,bollinger,,accepted,ok,5_L-71Fzupc,https://www.youtube.com/watch?v=5_L-71Fzupc
,ATR-Based Volatility Filter with Trend-Following Mode,failed,,,rejected,"ast: syntax error: expected ':' (<unknown>, line 75)",VnPs8p2Gqck,https://www.youtube.com/watch?v=VnPs8p2Gqck
,Price Action Trend Trading with Pullback Entry,failed,ma_crossover,,rejected,template invalid: trivial: position never changes,rXW6AalOrq4,https://www.youtube.com/watch?v=rXW6AalOrq4
g022,RSI and Moving Average Mean Reversion,template,rsi_meanrev,,accepted,ok,5KKildyGBeo,https://www.youtube.com/watch?v=5KKildyGBeo
g023,MACD Crossover Strategy,template,macd,,accepted,ok,JzdVPnCSSuo,https://www.youtube.com/watch?v=JzdVPnCSSuo
g024,Bitcoin Breakout Trading Bot,template,donchian_breakout,,accepted,ok,v5qTYnMiUw4,https://www.youtube.com/watch?v=v5qTYnMiUw4
g025,Simple Moving Average Crossover Strategy,template,ma_crossover,,accepted,ok,Ets0xGCjQ14,https://www.youtube.com/watch?v=Ets0xGCjQ14
,Backward RSI Momentum Strategy,failed,rsi_meanrev,,rejected,template invalid: trivial: position never changes,34ZO6Y6P7CU,https://www.youtube.com/watch?v=34ZO6Y6P7CU
,Momentum Trading Strategy,failed,,,rejected,sandbox: FAIL: AssertionError('trivial: never trades'),l9Y224DfhSk,https://www.youtube.com/watch?v=l9Y224DfhSk
,Trend Joint Long / Gap Up Momentum Trading,failed,,,rejected,"sandbox: FAIL: NameError(""name 'above_v' is not defined"")",IEu3NHVE_lQ,https://www.youtube.com/watch?v=IEu3NHVE_lQ
g026,Simple Moving Average Crossover,template,ma_crossover,,accepted,ok,4YmRpo60kow,https://www.youtube.com/watch?v=4YmRpo60kow
g027,Buy the Dip - 5 Bar Hold,template,rsi_meanrev,,accepted,ok,K8buXUxEfMc,https://www.youtube.com/watch?v=K8buXUxEfMc
,RSI Strategy,failed,rsi_meanrev,,rejected,template invalid: trivial: position never changes,MeAIUG5XAbY,https://www.youtube.com/watch?v=MeAIUG5XAbY
g028,Two Moving Average Crossover,template,ma_crossover,,accepted,ok,29_FVmMtDWw,https://www.youtube.com/watch?v=29_FVmMtDWw
g029,Grok Momentum-Based Day Trading Strategy,freeform,,,accepted,ok,BZUT9YctnII,https://www.youtube.com/watch?v=BZUT9YctnII
g030,Golden Cross Moving Average Strategy (EV Stocks),template,ma_crossover,,accepted,ok,6FQz7MDTogs,https://www.youtube.com/watch?v=6FQz7MDTogs
,Anchored VWAP (AVWAP) with Liquidation Combos,failed,,,rejected,ast: imports are not allowed (np and pd are provided),RH52FuSbEpI,https://www.youtube.com/watch?v=RH52FuSbEpI
,Pairs Trading,failed,pairs,,rejected,"pairs needs two tickers, router gave []",RswCmPFn6TY,https://www.youtube.com/watch?v=RswCmPFn6TY
g031,Swing Trader Pro,template,ma_crossover,,accepted,ok,duvMrFqb2Nw,https://www.youtube.com/watch?v=duvMrFqb2Nw
,Fibonacci Extension Swing Trading,failed,,,rejected,"ast: syntax error: expected an indented block after 'elif' statement on line 79 (<unknown>, line 79)",Y8eO54AWfNA,https://www.youtube.com/watch?v=Y8eO54AWfNA
g032,Moving Average Crossover EA,template,ma_crossover,,accepted,ok,xK_yac8QF-I,https://www.youtube.com/watch?v=xK_yac8QF-I
,Multi-Level Weighted OFI (Order Flow Imbalance) High Frequency Trading Bot,failed,,,rejected,ast: imports are not allowed (np and pd are provided),taOBbyjmvh4,https://www.youtube.com/watch?v=taOBbyjmvh4
g033,Simple Moving Average Crossover Strategy,template,ma_crossover,,accepted,ok,J3VEniAKg5A,https://www.youtube.com/watch?v=J3VEniAKg5A
g034,Moving Average Crossover Position Sizing,template,ma_crossover,,accepted,ok,eqmoQNQNZgo,https://www.youtube.com/watch?v=eqmoQNQNZgo
g035,SMA Crossover Strategy,template,ma_crossover,,accepted,ok,j6K-pyF1hdI,https://www.youtube.com/watch?v=j6K-pyF1hdI
,Six Liquidation-Based Trading Strategies,failed,,,rejected,"ast: syntax error: '(' was never closed (<unknown>, line 72)",IMKU8FtHyiI,https://www.youtube.com/watch?v=IMKU8FtHyiI
,RSI Oversold/Overbought Strategy,failed,rsi_meanrev,,rejected,template invalid: trivial: position never changes,2PV1Yw1Y5S8,https://www.youtube.com/watch?v=2PV1Yw1Y5S8
g036,Bitcoin SMA Crossover Strategy,template,ma_crossover,,accepted,ok,QLYmpGlZpG0,https://www.youtube.com/watch?v=QLYmpGlZpG0
,Gap Up Trading Bot,failed,,,rejected,"ast: syntax error: '(' was never closed (<unknown>, line 79)",eNiYFFZuOfQ,https://www.youtube.com/watch?v=eNiYFFZuOfQ
,Fibonacci Retracement and Extension Trading,failed,,,rejected,sandbox: FAIL: AssertionError('not a Series'),tM1o5Zii0qI,https://www.youtube.com/watch?v=tM1o5Zii0qI
g037,Multi-Timeframe Trend-Following with Price Action,template,donchian_breakout,,accepted,ok,4r55Vo-mOM8,https://www.youtube.com/watch?v=4r55Vo-mOM8
g038,Mean Reversion with Bollinger Bands and RSI,template,bollinger,,accepted,ok,s3XJ0SbME7k,https://www.youtube.com/watch?v=s3XJ0SbME7k
,Gap Up Buy and Hold,failed,,,rejected,sandbox: FAIL: AssertionError('trivial: never trades'),62dA5m7r7Kc,https://www.youtube.com/watch?v=62dA5m7r7Kc
,Supply and Demand Zone Bot,failed,,,rejected,"ast: syntax error: invalid syntax (<unknown>, line 64)",d5Ve3UWVFyI,https://www.youtube.com/watch?v=d5Ve3UWVFyI
g039,AI Swing Trade Analyzer,template,donchian_breakout,,accepted,ok,86ZpQn85nCc,https://www.youtube.com/watch?v=86ZpQn85nCc
,Optimal Trading Zones (OTZ),failed,,,rejected,"ast: syntax error: '(' was never closed (<unknown>, line 73)",xSoTqE9wyRo,https://www.youtube.com/watch?v=xSoTqE9wyRo
,Support and Resistance with Price Action Patterns,failed,,,rejected,"ast: syntax error: expected ':' (<unknown>, line 83)",MSzOocvljqc,https://www.youtube.com/watch?v=MSzOocvljqc
g040,Multi-Asset Trend Following with Price Action,template,ma_crossover,,accepted,ok,MnG2Ru_LVEw,https://www.youtube.com/watch?v=MnG2Ru_LVEw
,Support and Resistance Trading with Reversals and Multi-Timeframe Analysis,failed,,,rejected,sandbox: FAIL: AssertionError('not a Series'),C2qRW9_via4,https://www.youtube.com/watch?v=C2qRW9_via4
