drop_reason,strategy_name,approach,asset_class,entry_rules,exit_rules,url
not_rule_based,ML-based Options Trading Strategy (Multiple Applications),ML,"Options (on stocks, indices, commodities)","Decision Tree Classifier forecasts bullish/bearish sentiment; ML regressor forecasts trading range; combined for vertical spread selection (bull call spread, bull put spread, etc.)",Not explicitly detailed in transcript,https://www.youtube.com/watch?v=tsdxkCMBWAQ
not_rule_based,Bull - 24/7 AI Trading Agent,ML,Stocks,"Research-based buy signals from fundamental analysis, market conditions assessment via Perplexity research","Sell signals based on strategy (specific signals documented in strategy files), daily loss caps, position size limits (max 5% per position)",https://www.youtube.com/watch?v=6MC1XqZSltw
not_rule_based,Overparameterized ML Model with Regularization for Stock Market Prediction,ML,Equities (US Stock Market),Model-generated signals based on overparameterized ML with strong regularization,Risk reduction before recessions detected by model,https://www.youtube.com/watch?v=kbCv4Pyy00M
no_strategy,,,,,,https://www.youtube.com/watch?v=idc6Uxd2v0o
no_strategy,,,,,,https://www.youtube.com/watch?v=17J88gTA0LE
no_strategy,,,,,,https://www.youtube.com/watch?v=4AFV_Gbi1WY
not_rule_based,Stock Price Prediction using XGBoost,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=3CSrrIW17jg
not_rule_based,Stock Price Prediction using SVM,ML,Equities,"N/A - Prediction model, not a trading strategy","N/A - Prediction model, not a trading strategy",https://www.youtube.com/watch?v=1tLU70XUbAU
no_strategy,,,,,,https://www.youtube.com/watch?v=LNDd7rf-9FU
not_rule_based,XGBoost Time Series Prediction for Stock Prices,ML,Equities,One-step-ahead prediction using previous hour's close price,Not specified,https://www.youtube.com/watch?v=4rikgkt4IcU
not_rule_based,Random Forest Classifier for Cryptocurrency Direction Prediction,ML,Cryptocurrency,Predict upward movement (1) using Random Forest on technical indicators,Not specified,https://www.youtube.com/watch?v=xzABSoqicjM
no_strategy,,,,,,https://www.youtube.com/watch?v=tIdBkkXLuUY
not_rule_based,Reinforcement Learning Crypto Trading Bot,RL,Cryptocurrency,"Buy on dips, anticipate pumps, detect market movement from sideways conditions","Sell when price is falling, sell at perceived top of pump, close on retracement signals",https://www.youtube.com/watch?v=IWqPdY58NZY
no_strategy,,,,,,https://www.youtube.com/watch?v=_-UCcuB8nbw
no_strategy,,,,,,https://www.youtube.com/watch?v=qYh3z1me7r0
not_rule_based,Stock Market Sentiment Analysis,sentiment,Equities,Not explicitly defined,Not explicitly defined,https://www.youtube.com/watch?v=9B5hw6uule0
no_strategy,,,,,,https://www.youtube.com/watch?v=SDzocDIYXoQ
not_rule_based,Reinforcement Learning Trading Agent for Single Stock Portfolio Optimization,RL,Equities (single stock),Agent learns to map stock market state to trading actions via RL,Agent learns to map stock market state to trading actions via RL,https://www.youtube.com/watch?v=Nwv_kpl1Wy4
not_rule_based,LSTM Stock Price Prediction,deep-learning,Equities,Not applicable - price prediction model,Not applicable - price prediction model,https://www.youtube.com/watch?v=PMCnZxzGYnw
no_concrete_exit,Trend Join Long (TJL) Strategy,rule-based,Equities,After 10:00 AM ET; price above yesterday's daily high; yesterday's close above 200 SMA; price above today's pre-market high; price above today's high of day (higher timeframe breakout),Not explicitly detailed in transcript,https://www.youtube.com/watch?v=IqvnryFzZD4
not_rule_based,Stock Market Prediction using Machine Learning Optimization,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=5BGRiaE1tZ0
not_rule_based,AI Investment Agent with LLM Sentiment Analysis,ML,General/Unspecified,"AI agent decision based on trained Random Forest model output combining price, volatility, and sentiment data",Not specified,https://www.youtube.com/watch?v=w4e2TBExktE
no_strategy,,,,,,https://www.youtube.com/watch?v=7U5HHLzQXic
no_strategy,,,,,,https://www.youtube.com/watch?v=Bo8oYgy4qyE
not_rule_based,Claude AI Chart Reading for Bitcoin Direction Prediction,deep-learning,Cryptocurrency (Bitcoin),Claude makes directional call (long/short/flat) based on previous 8 hours of price action; entry at next candle open after decision,Fixed 24-hour (288 candle) holding period; exit at next candle open after 24 hours,https://www.youtube.com/watch?v=zkBDZYUnzjU
not_rule_based,Stock Price Prediction using Recurrent Neural Networks,deep-learning,Stocks,Window-based approach: use previous 100 days of opening prices to predict next day's opening price,Not specified,https://www.youtube.com/watch?v=Aw9tIKagrZ8
prediction_market_or_sports,Key Levels Support and Resistance Trading,rule-based,Forex,Place buy limit orders at key levels inside demand zones; place sell limit orders at key levels inside supply zones for precise entries,Take profits when price fails to close above/below key levels; use key levels aligned with supply/demand zones as exit targets,https://www.youtube.com/watch?v=vNzsmCyWV_g
no_strategy,,,,,,https://www.youtube.com/watch?v=vwSMQ22zLPg
not_rule_based,Q-Learning Optimal Asset Allocation for Foreign Exchange,RL,Foreign Exchange (EUR/USD),Execute exchange if Q-learning algorithm determines highest Q-value action is to invest at current exchange rate and amount state,Close all open orders every 15 minutes; skip trading if Q-learning determines not investing is better choice,https://www.youtube.com/watch?v=qSw6FtoFlJM
no_strategy,,,,,,https://www.youtube.com/watch?v=zpwfKeIHH1c
no_strategy,,,,,,https://www.youtube.com/watch?v=z5HfbXORZsg
not_rule_based,CAT Neural Network Bitcoin Price Prediction,deep-learning,Cryptocurrency (Bitcoin),"Neural network predicts next candle close; outputs buy (1), sell (-1), or do nothing (0)",Not explicitly specified,https://www.youtube.com/watch?v=0yNfaixWyf4
not_rule_based,Technical Indicators + Random Forest ML Model,ML,Equities (Indian stocks),"Buy signal when multiple indicators align (RSI, MACD, Volume Breakout true)","Sell signal when one or more indicators turn false (e.g., RSI false, MACD breakout false)",https://www.youtube.com/watch?v=GmyKTbgiDuU
not_rule_based,LSTM Stock Market Price Prediction,deep-learning,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=Kxzx7QN8XsA
not_rule_based,AI-Powered Sentiment Analysis Trading Bot,deep-learning,General (news-based),Based on overall market sentiment computed from news headlines,,https://www.youtube.com/watch?v=jVMeWdqUkPg
no_strategy,,,,,,https://www.youtube.com/watch?v=sAXJJ5zOCMw
not_rule_based,Neural Network Trading Signals,deep-learning,"Forex, Commodities","Neural network generates buy/sell signals with specified risk-reward ratios (e.g., 3.47, 3.05, 3.97) and probability thresholds (~74-75%)",Not explicitly stated; implied by risk-reward ratio targets,https://www.youtube.com/watch?v=Y1oi5LC_9_o
not_rule_based,Machine Learning Pattern Recognition for Stock/Forex Trading,ML,"Stock, Forex",Patterns detected and stored; predictions visualized based on future price movement relative to last pattern value,Not specified; strategy still in development,https://www.youtube.com/watch?v=bSujVFWXX_I
no_concrete_exit,Moving Average Area of Value,rule-based,"Forex, Commodities",Buy when price pulls back to moving average in uptrend after at least 2 confirmed tests; price must break above swing high to count as a test,Not specified,https://www.youtube.com/watch?v=Dl4mri9IMDA
not_rule_based,Stock Market Closing Price Prediction using RNN,deep-learning,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=GK-mqL7ASdY
no_strategy,,,,,,https://www.youtube.com/watch?v=HmKF99RhTdY
no_strategy,,,,,,https://www.youtube.com/watch?v=PdLgzRipSD8
not_rule_based,Trading Agents - Multi-Agent LLM Framework,deep-learning,Stocks,"Agents synthesize insights from debates, historical data, and structured reports to make informed long/short/hold decisions",Risk management team monitors exposure within acceptable limits; feedback loop from trade results informs future decisions,https://www.youtube.com/watch?v=hyK_W9qA9eo
no_strategy,,,,,,https://www.youtube.com/watch?v=XrftwRbZs7g
not_rule_based,JP Morgan Stock Buy/Sell Signal Prediction,ML,Equities,"Buy signal (1) when Random Forest predicts positive future returns; uses decision tree rules combining ADX > 25, RSI > 60, percentage change > 0.005",Sell signal (0) when Random Forest predicts non-positive future returns,https://www.youtube.com/watch?v=hxtugnzgdM4
no_strategy,,,,,,https://www.youtube.com/watch?v=mMqLtnsU08o
prediction_market_or_sports,CVD (Cumulative Volume Delta) 5-Minute Polymarket Bot,rule-based,Prediction Markets (Polymarket),CVD-based: rising CVD indicates buyer aggression (lifting ask); MACD 3-15-3 crossover signals,5-minute market expiration; price beats opening price at market start,https://www.youtube.com/watch?v=ZZTeNLZUvBw
prediction_market_or_sports,Support and Resistance Trading with Optimal Trading Zones (OTZ),rule-based,Forex,Enter at support/resistance levels after market breaks previous highs/lows; use OTZ (levels tested multiple times) for higher confluence; trend continuation: pullback to previous resistance (bullish) or support (bearish); counter-trend: reversals at next resistance/support level,Not explicitly detailed; implied reversal at next structural level,https://www.youtube.com/watch?v=3iY_4sN7KGI
no_strategy,,,,,,https://www.youtube.com/watch?v=BANdIKSQFT4
not_rule_based,Transformer-based Price Prediction,deep-learning,equities/general financial markets,,,https://www.youtube.com/watch?v=U2c87JylXv0
no_concrete_exit,Support/Resistance & Order Block Trading Strategy,rule-based,"Forex, Stocks, Crypto","Trend continuation: Engulfing candle (color change, close above previous high) above 50 EMA within major structure zone. Counter-trend: Conservative entry at multiple-tested support/resistance levels.",Not fully detailed in transcript; mentions stops and targets but specifics cut off,https://www.youtube.com/watch?v=tvij0lImOPY
no_concrete_exit,Statistical Arbitrage (Pairs Trading),rule-based,Equities,"Enter when spread deviates significantly from mean, expecting mean reversion",Not explicitly defined; implied reversion to mean,https://www.youtube.com/watch?v=waVUvKjXD6I
no_strategy,,,,,,https://www.youtube.com/watch?v=Vu62g43_1aE
no_strategy,,,,,,https://www.youtube.com/watch?v=2fjhdjZxpMk
no_strategy,,,,,,https://www.youtube.com/watch?v=1nk6C_D8o-c
no_strategy,,,,,,https://www.youtube.com/watch?v=5utBDFOQtwg
not_rule_based,Prediction Market Assistant using LLM-based Contract Evaluation,deep-learning,prediction markets,"LLM evaluates if yes/no contracts are underpriced based on reasoning about candidate viability, track record, and market sentiment; filters by confidence score threshold",Not explicitly discussed,https://www.youtube.com/watch?v=Ib0BEFKAvn0
not_rule_based,Hidden Markov Model Regime-Based Trading System,ML,Cryptocurrencies (Bitcoin example),"Enter only in bullish regime when 7 out of 8 confirmation conditions are met (RSI<90, momentum, volatility, volume, ADX, price, MACD)",Close position immediately when regime flips from bullish to bearish/crash; 48-hour cooldown after exit before re-entry,https://www.youtube.com/watch?v=EUSXhJNwRqI
not_rule_based,AI Machine Learning Trading System,ML,Not specified,Not specified,Not specified,https://www.youtube.com/watch?v=9k7ZdK7W1dY
no_strategy,,,,,,https://www.youtube.com/watch?v=Wqmtf9SA_kk
not_rule_based,Stock Price Prediction via LSTM Neural Network,deep-learning,Equities (S&P 500 Index),"Not applicable - price prediction model, not a trading strategy with entry signals","Not applicable - price prediction model, not a trading strategy with exit signals",https://www.youtube.com/watch?v=8r5NFIQ-PsQ
no_strategy,,,,,,https://www.youtube.com/watch?v=YSBGUruUV0E
no_strategy,,,,,,https://www.youtube.com/watch?v=u9ZOMjcnm6g
not_rule_based,LSTM Stock Price Forecast,deep-learning,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=oZRmrf6V62g
not_rule_based,"Stock Prediction using ARIMA, CNN, and LSTM",deep-learning,stocks,Not specified,Not specified,https://www.youtube.com/watch?v=28dLx1ZuPKk
no_strategy,,,,,,https://www.youtube.com/watch?v=vEu9OvHj8QE
not_rule_based,Random Forest Stock Price Prediction,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=KjGConk12Qg
not_rule_based,Trading Agents (Multi-Agent LLM Trading System),deep-learning,Equities,Synthesized from debate between bullish and bearish researchers; trader synthesizes all reports; portfolio manager approval required,Risk management team approval required for final decision,https://www.youtube.com/watch?v=Ys3OcjpVuZ4
no_strategy,,,,,,https://www.youtube.com/watch?v=S3WlN0ioh1g
not_rule_based,JP Morgan Long Signal Prediction,ML,Equities,ML model predicts target variable = 1 (next day price > today price),Not specified,https://www.youtube.com/watch?v=30fRidC3ppY
no_nameable_indicator,Grid Bot with Long Bias,rule-based,Crypto (Perpetuals/Spot on Hyperliquid),Buy at multiple price levels going down (long bias); sell/short on way up,Stop loss if down 15%; readjust on fill orders,https://www.youtube.com/watch?v=qIQh4d-Ya80
no_strategy,,,,,,https://www.youtube.com/watch?v=b3VV_aqZ7eU
not_rule_based,Stock Price Prediction with XGBoost,ML,Stocks,Buy signal when predicted close price > open price (difference > 0),Sell signal when predicted close price < open price (difference < 0),https://www.youtube.com/watch?v=DlP0lOy1iTo
no_strategy,,,,,,https://www.youtube.com/watch?v=y5Xks7DbWww
no_strategy,,,,,,https://www.youtube.com/watch?v=EMoLTicNR6w
not_rule_based,S&P 500 Direction Prediction with Random Forest,ML,Equity Index,Buy when model predicts price will go up (target = 1),Sell at end of day,https://www.youtube.com/watch?v=1O_BenficgE
no_concrete_exit,KNN-based Stock Buy/Sell Classification and Price Prediction,rule-based,stocks,Buy (+1) if next day close > current close; Sell (-1) if next day close <= current close,Not explicitly defined; classification output determines buy/sell signal,https://www.youtube.com/watch?v=tn07dCSFOfQ
no_concrete_entry,WAE (Water Explosion) + ADX Strategy,rule-based,Stocks/Crypto,Not explicitly detailed in transcript,Not explicitly detailed in transcript,https://www.youtube.com/watch?v=c1k3aKkLg_c
not_rule_based,Tree-Based ML Models for Stock Trading with Rolling Window Backtesting,ML,equities,Buy if predicted return > 0.5%,Sell at end of day,https://www.youtube.com/watch?v=XgwJbFCIXZs
not_rule_based,Deep Q-Learning Trading Agent,deep-learning,Stocks,Agent learns to buy (action=-1) based on Q-network policy; initial action range -1 to 1,Agent learns to sell (action=1) based on Q-network policy; profit calculated as (close - entry_price) / entry_price * 100,https://www.youtube.com/watch?v=mJ9ct6yjglw
no_strategy,,,,,,https://www.youtube.com/watch?v=5yube2w2z30
no_strategy,,,,,,https://www.youtube.com/watch?v=0mHd5BQYyvA
not_rule_based,FinRL Deep Reinforcement Learning Stock Trading,deep-learning,Equities (stocks),"DRL agent determines actions (buy/sell/hold) based on state (stock prices, technical indicators, turbulence index)",DRL agent determines exit actions; backtest evaluates performance metrics,https://www.youtube.com/watch?v=g4LkhQCFMDc
not_rule_based,ChatGPT AI Bot,ML,Cryptocurrency (Ethereum),,,https://www.youtube.com/watch?v=353_9Al0f3M
not_rule_based,Deep Reinforcement Learning for Asset Allocation in US Equities,deep-learning,US Equities,,,https://www.youtube.com/watch?v=_u6orof3C8E
no_strategy,,,,,,https://www.youtube.com/watch?v=q6ksatp4M_c
not_rule_based,Neural Network-Based Price Movement Forecasting,deep-learning,"Multi-asset (forex, crypto, stocks, bonds, futures)","Enter only when neural network generates trade block with: strong trend direction, adequate trading volume, clear market decision (not in accumulation/consolidation). Risk-to-reward ratio must be 1:3 or higher. Skip trades in uncertainty zones.","Move to break-even after 0.5-1% profit on initial risk. Take profit at neural network's calculated levels or adjusted based on support levels and fundamental factors (e.g., news events). Use trailing stops.",https://www.youtube.com/watch?v=avW_GXSXwl0
no_strategy,,,,,,https://www.youtube.com/watch?v=tLzMaKbDwkc
no_strategy,,,,,,https://www.youtube.com/watch?v=CfkFFk-r9aA
not_rule_based,Reinforcement Learning Trading Bot,RL,"stocks, crypto, forex",discrete action space (buy/sell/hold) determined by trained policy network,determined by trained policy network; episode ends at end of data,https://www.youtube.com/watch?v=A3eWVrM3cvI
not_rule_based,ChatGPT-powered AI Trading Bot,ML,Cryptocurrencies and stocks,Not specified,Not specified,https://www.youtube.com/watch?v=m2YYwEldhqg
not_rule_based,Machine Learning-based Fundamental Stock Selection,ML,Equities,"Buy stocks with no/low institutional holding, high dividend yield (>1%), and low P/E ratio (<7.7)","Sell stocks with high institutional holding, high P/E ratio (>6), low/negative growth, and low dividend yield (<0.7%)",https://www.youtube.com/watch?v=dSBycnKgYc8
not_rule_based,LSTM Stock Price Prediction,deep-learning,Equities,Sliding window of 60 days of historical closing prices as input,Predict next day closing price; 30-day forward prediction demonstrated,https://www.youtube.com/watch?v=_CjhFrweZaI
not_rule_based,LSTM Stock Prediction with Multi-Input Deep Learning,deep-learning,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=g41jLefmHog
no_strategy,,,,,,https://www.youtube.com/watch?v=_qArnFg1Xhg
not_rule_based,DeepSeek-Generated NinjaTrader Strategy,other,Not specified,Not specified,Not specified,https://www.youtube.com/watch?v=5UUJiLn9VR0
no_concrete_exit,Momentum Trading on Established Tokens,rule-based,Cryptocurrency (Solana),"Token must have at least 1M liquidity, be at least 24 hours old, and show clear volume trends",Not explicitly specified; bot configured to alert on important events and stop only on user command or critical error,https://www.youtube.com/watch?v=ewOpudu8Cjc
no_strategy,,,,,,https://www.youtube.com/watch?v=3aWw8tQhsT4
no_strategy,,,,,,https://www.youtube.com/watch?v=XNZ7o3621FY
no_strategy,,,,,,https://www.youtube.com/watch?v=sJfwegO57U4
no_strategy,,,,,,https://www.youtube.com/watch?v=dWWlG5LPL6Y
not_rule_based,FinGPT Sentiment Analysis Trading,sentiment,"Equities (stocks, indices)",Trade based on sentiment output from FinGPT model applied to financial headlines,Not specified,https://www.youtube.com/watch?v=K2wP56f9Vzg
not_rule_based,Hidden Markov Model Market Regime Detection,ML,Cryptocurrency (Bitcoin),Not explicitly defined in transcript,Not explicitly defined in transcript,https://www.youtube.com/watch?v=JwGfdnnyUAs
no_strategy,,,,,,https://www.youtube.com/watch?v=Fz0Ha11xTlY
no_strategy,,,,,,https://www.youtube.com/watch?v=NB0ppivygSg
no_strategy,,,,,,https://www.youtube.com/watch?v=fI6bnhIjB0k
no_strategy,,,,,,https://www.youtube.com/watch?v=2IGbkWm0cNo
not_rule_based,Facebook Prophet Time Series Prediction for Forex,deep-learning,Forex (EUR/USD),Categorical signal: buy (2) if predicted next close > current close + diff_limit; sell (1) if predicted next close < current close - diff_limit; hold (0) if within band,Not explicitly defined; implied take-profit on divergent predictions,https://www.youtube.com/watch?v=lmoHsgSKBNA
no_strategy,,,,,,https://www.youtube.com/watch?v=EveA6w2yqfw
no_strategy,,,,,,https://www.youtube.com/watch?v=8oyfgwQvK-0
no_strategy,,,,,,https://www.youtube.com/watch?v=gCjk0EX50bY
not_rule_based,S&P 500 Machine Learning Trading Strategy,ML,Equities,Algorithm predicts based on company key statistics pulled from Yahoo Finance,Not specified,https://www.youtube.com/watch?v=ocgvXbv2iHs
not_rule_based,Reinforcement Learning Trading AI Agent,RL,Forex,AI agent learns optimal entry patterns from historical data,AI agent learns optimal exit patterns from historical data,https://www.youtube.com/watch?v=BznJQMi35sQ
not_rule_based,Neural Network Price Prediction Strategy,deep-learning,Unspecified,Model predicts uptrend,Model predicts downtrend,https://www.youtube.com/watch?v=9PLoxEzM0tQ
not_rule_based,Neural Network Time Series Prediction for Trading,deep-learning,"stocks, forex, cryptocurrency",,,https://www.youtube.com/watch?v=qjzAx3vYfmw
not_rule_based,Stock Price Predictor using LSTM,deep-learning,Stocks,Not specified,Not specified,https://www.youtube.com/watch?v=GQ9s0oH3-7I
no_strategy,,,,,,https://www.youtube.com/watch?v=98COAyEqJjM
no_strategy,,,,,,https://www.youtube.com/watch?v=wFlBrYa4nrw
not_rule_based,LSTM Time Series Forecasting for Apple Stock Price Prediction,deep-learning,Equities,Sliding window sequences with lookback period of 60 timesteps; multivariate input from 6 columns,Early stopping callback monitoring validation loss with patience of 10 epochs,https://www.youtube.com/watch?v=PeXHcJt0E9Y
no_strategy,,,,,,https://www.youtube.com/watch?v=1EUW5loWpG0
no_strategy,,,,,,https://www.youtube.com/watch?v=9y9YYhCuLro
not_rule_based,Bitcoin Log Return Prediction with Linear Regression,ML,Cryptocurrency,Not specified in this video (strategy creation deferred to video 2),Not specified in this video (strategy creation deferred to video 2),https://www.youtube.com/watch?v=iWSDY8_5N3U
no_concrete_entry,Stock Market Price Prediction using Linear Regression,rule-based,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=uEGZ68NH-sM
not_rule_based,"Stock Prediction using ARIMA, CNN, and LSTM",deep-learning,stocks,Not specified,Not specified,https://www.youtube.com/watch?v=UjDnkX4tL48
not_rule_based,One-Week Ahead Stock Price Prediction,ML,Equities,Not specified,Not specified,https://www.youtube.com/watch?v=O6tL-QQGKXc
not_rule_based,News Sentiment Analysis for Stock Selection,sentiment,Equities,Identify stocks with negative sentiment from recent news articles,,https://www.youtube.com/watch?v=cXMswiKiG4k
